Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)",Score_AG (P),Time_est
000-02OI-0000,0.9286199839907896,006-000K-0000,"https://media.ng-london.org.uk/iiif/009-006N-0000/full/256,/0/default.jpg",Womens Lives,0,0.6423827691383622,23
000-02P5-0000,0.9283756108507686,006-0025-0000,"https://media.ng-london.org.uk/iiif/009-0147-0000/full/256,/0/default.jpg",Uncategorised,0,0.6422137214147551,15
000-03I6-0000,0.9264498370971568,006-001B-0000,"https://media.ng-london.org.uk/iiif/009-01MS-0000/full/256,/0/default.jpg",Battles_and_Commanders,0,0.6408815468999846,29
000-03FA-0000,0.925256601287794,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-0065-0000/full/256,/0/default.jpg",Uncategorised,0,0.6400561133139451,16
000-02UP-0000,0.9251580300972662,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-006A-0000/full/256,/0/default.jpg",Womens Lives,0,0.6399879256425399,24
000-0430-0000,0.9250154247405846,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-010E-0000/full/256,/0/default.jpg",Uncategorised,0,0.6398892768674777,15
000-04R3-0000,0.9213546588648645,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-0036-0000/full/256,/0/default.jpg",Uncategorised,0,0.637356903064465,16
000-043M-0000,0.9191515427536564,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-019P-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6358328740185154,22
000-02UR-0000,0.9191344156359188,006-0018-0000,"https://media.ng-london.org.uk/iiif/009-00RS-0000/full/256,/0/default.jpg",Migration_Journeys_and_Exile,0,0.6358210261523168,56
000-03I2-0000,0.9177343854551734,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01NZ-0000/full/256,/0/default.jpg",Uncategorised,0,0.6348525403563086,15
000-043E-0000,0.9166656671369666,006-001J-0000,"https://media.ng-london.org.uk/iiif/009-01H1-0000/full/256,/0/default.jpg",Uncategorised,0,0.6341132430716129,16
000-019X-0000,0.9164814549888196,006-001O-0000,"https://media.ng-london.org.uk/iiif/009-00AP-0000/full/256,/0/default.jpg",Warfare,0,0.6339858123551997,18
000-03JQ-0000,0.9160346293781144,006-001V-0000,"https://media.ng-london.org.uk/iiif/009-00VM-0000/full/256,/0/default.jpg",Uncategorised,0,0.6336767159776985,15
000-03MW-0000,0.9145476709666398,006-001T-0000,"https://media.ng-london.org.uk/iiif/009-013C-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.6326480966517912,38
000-03LO-0000,0.9142524385237344,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0104-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6324438664634661,37
000-04QG-0000,0.9135875352328148,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00OI-0000/full/256,/0/default.jpg",Uncategorised,0,0.6319839125268787,16
000-02NG-0000,0.9124427937140815,006-000J-0000,"https://media.ng-london.org.uk/iiif/009-01T1-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6311920253831288,35
000-03XL-0000,0.9108153673151662,006-000Y-0000,"https://media.ng-london.org.uk/iiif/009-00KG-0000/full/256,/0/default.jpg",Uncategorised,0,0.630066235830107,15
000-03V9-0000,0.9084243216315282,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01IZ-0000/full/256,/0/default.jpg",Warfare,0,0.6284122044998842,47
000-02RL-0000,0.906912664563268,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00LA-0000/full/256,/0/default.jpg",Womens Lives,0,0.6273664996149609,25
000-03QG-0000,0.9061597223129194,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-009K-0000/full/256,/0/default.jpg",Uncategorised,0,0.6268456437900609,15
000-02UF-0000,0.9049879752618056,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01XF-0000/full/256,/0/default.jpg",Uncategorised,0,0.6260350752815206,16
000-02U3-0000,0.9034223821419114,006-001I-0000,"https://media.ng-london.org.uk/iiif/009-0132-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.6249520595581463,31
000-04T5-0000,0.9012131659101432,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01EI-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.6234238106887974,26
000-042O-0000,0.9006901833089347,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00KU-0000/full/256,/0/default.jpg",Water,0,0.6230620319015999,40
000-03S4-0000,0.8998287967276499,006-001J-0000,"https://media.ng-london.org.uk/iiif/009-0061-0000/full/256,/0/default.jpg",Uncategorised,0,0.6224661585552109,15
000-02UJ-0000,0.8992864882459504,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01JZ-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6220910108842506,15
000-01C4-0000,0.8959967182069186,006-001C-0000,"https://media.ng-london.org.uk/iiif/009-00CN-0000/full/256,/0/default.jpg",Uncategorised,0,0.6198152774045339,15
000-01EV-0000,0.8955310552758511,006-001S-0000,"https://media.ng-london.org.uk/iiif//full/256,/0/default.jpg",Uncategorised,0,0.619493150109945,15
000-02W4-0000,0.8928162468591498,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01S7-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.6176151524591665,16
000-04LR-0000,0.8927859202886115,006-001Q-0000,"https://media.ng-london.org.uk/iiif/009-00S3-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.6175941737308419,21
000-041U-0000,0.8912721842413007,006-001Z-0000,"https://media.ng-london.org.uk/iiif/009-01UU-0000/full/256,/0/default.jpg",Uncategorised,0,0.6165470306900072,16
000-03W5-0000,0.8903994560466679,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01PE-0000/full/256,/0/default.jpg",Uncategorised,0,0.6159433116617303,15
000-0344-0000,0.8892538961044321,006-000L-0000,"https://media.ng-london.org.uk/iiif/009-01WB-0000/full/256,/0/default.jpg",Water,0,0.6151508583648015,27
000-04HE-0000,0.8892044028548525,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-014J-0000/full/256,/0/default.jpg",Uncategorised,0,0.6151166208820135,15
000-016C-0000,0.8872763215035029,006-0011-0000,"https://media.ng-london.org.uk/iiif/009-000Z-0000/full/256,/0/default.jpg",Uncategorised,0,0.6137828500619185,15
000-031S-0000,0.8867327671197662,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0145-0000/full/256,/0/default.jpg",Uncategorised,0,0.6134068405249479,15
000-02XU-0000,0.8830198275760209,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01PX-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6108383750311253,34
000-01BT-0000,0.8819325233033233,006-0020-0000,"https://media.ng-london.org.uk/iiif/009-00QP-0000/full/256,/0/default.jpg",Uncategorised,0,0.6100862207143618,16
000-030B-0000,0.8790192292823935,006-000K-0000,"https://media.ng-london.org.uk/iiif/009-01DL-0000/full/256,/0/default.jpg",Uncategorised,0,0.6080709185318302,15
000-017I-0000,0.8780662630882472,006-001W-0000,"https://media.ng-london.org.uk/iiif/009-00JC-0000/full/256,/0/default.jpg",Warfare,0,0.6074116940123878,40
000-02T9-0000,0.8774810996452129,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01V0-0000/full/256,/0/default.jpg",Uncategorised,0,0.6070069009652691,15
000-04FU-0000,0.8766183871087807,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01HC-0000/full/256,/0/default.jpg",Water,0,0.6064101103752777,21
000-02TF-0000,0.8750149957294076,006-000F-0000,"https://media.ng-london.org.uk/iiif/009-017V-0000/full/256,/0/default.jpg",Uncategorised,0,0.6053009473031372,15
000-04J8-0000,0.8743314586283755,006-0009-0000,"https://media.ng-london.org.uk/iiif/009-00VT-0000/full/256,/0/default.jpg",Death,0,0.604828103229846,31
